1000 349613
73 275 38
658 897 15
20 459 88
175 694 93
98 329 12
231 855 65
362 411 77
311 472 38
67 418 73
255 487 44
9 838 86
386 789 50
45 288 15
351 419 82
746 770 71
367 541 20
426 724 51
140 977 79
664 880 17
134 932 63
263 512 76
104 769 9
206 829 85
766 916 75
78 689 20
96 714 54
594 665 44
396 810 100
222 884 96
55 539 43
202 480 93
100 846 64
178 661 32
455 913 62
673 713 87
391 468 42
158 448 30
473 941 67
762 830 42
129 187 43
228 484 21
170 541 38
190 505 90
601 965 72
370 696 33
94 411 45
2 527 93
221 780 81
12 250 54
311 517 45
190 782 1
333 683 2
79 309 73
687 844 90
606 969 95
1 499 24
555 979 11
353 576 62
205 395 27
360 625 31
609 780 30
337 458 55
45 66 65
252 255 10
34 721 4
269 882 36
475 940 15
370 551 19
198 697 47
662 751 21
594 823 7
357 852 5
100 882 95
536 722 69
135 890 2
117 765 63
876 899 96
393 463 49
111 358 79
105 683 49
694 906 98
91 203 18
657 840 37
368 378 45
779 983 14
106 873 11
675 716 42
100 394 39
24 241 23
163 382 34
419 604 70
458 473 30
68 579 43
680 695 3
407 419 21
328 913 70
570 814 82
124 198 10
516 680 81
464 620 32
336 338 56
495 638 8
68 808 94
34 859 3
232 267 40
89 441 40
343 383 53
346 520 77
317 928 26
613 876 8
192 967 3
345 821 5
430 799 95
243 544 92
92 408 56
855 931 68
291 635 46
637 754 55
789 936 17
614 962 86
785 789 56
88 370 20
23 689 6
305 622 35
206 857 9
55 871 86
507 837 53
101 874 90
8 351 21
295 873 27
104 744 41
630 993 65
694 932 26
49 817 49
786 912 7
639 998 5
135 597 72
190 527 53
805 859 75
145 736 29
156 537 87
479 850 58
206 846 5
339 433 11
465 964 88
336 529 99
258 676 49
666 757 90
791 953 46
306 799 97
193 540 10
255 900 33
475 687 29
84 752 64
121 124 30
547 860 7
412 465 21
282 679 83
339 456 70
311 839 53
42 928 71
181 969 17
302 435 41
233 699 79
149 621 8
261 609 74
549 940 33
45 720 95
608 803 84
163 433 30
318 502 26
340 869 80
447 560 17
108 710 49
250 760 22
541 637 86
158 161 38
709 788 61
737 887 63
13 825 37
128 737 38
34 847 71
479 988 53
124 234 66
495 722 68
732 986 32
58 653 23
488 557 85
708 721 59
823 842 26
81 704 64
558 814 56
442 668 34
479 611 46
822 975 75
408 509 89
279 567 95
75 121 68
490 509 32
392 843 5
14 805 13
52 135 81
229 316 92
20 241 13
231 325 53
299 370 47
888 920 11
369 989 6
629 933 91
716 986 94
707 947 83
202 975 90
874 880 92
330 624 74
136 911 81
96 891 53
430 932 44
667 764 41
416 671 12
50 661 77
532 927 76
147 149 84
659 878 33
79 833 55
420 470 39
178 412 59
222 801 97
480 985 40
4 757 15
752 873 60
566 937 42
522 523 94
375 992 67
63 162 100
21 701 47
153 726 89
54 532 47
333 649 94
149 368 15
604 973 33
70 407 83
468 726 39
488 970 70
62 370 30
891 963 14
533 971 82
373 685 47
468 689 24
554 953 92
349 892 48
497 665 65
373 886 35
23 392 32
6 303 50
247 694 47
201 427 66
72 297 49
429 724 55
250 946 29
122 143 68
853 967 24
361 820 17
25 66 30
32 409 70
535 986 63
77 830 95
43 428 29
257 555 2
256 788 31
684 730 82
32 186 61
610 729 15
96 771 39
279 749 46
600 964 17
427 884 49
443 784 31
631 983 5
333 702 54
624 670 57
134 411 93
125 737 89
352 844 82
21 368 53
461 705 61
778 841 35
619 663 21
344 986 70
477 480 16
54 385 68
651 986 89
362 554 30
374 943 75
7 778 29
340 794 91
768 945 68
366 783 90
483 484 39
306 800 94
962 965 99
835 844 9
643 863 57
573 908 53
391 501 13
675 810 82
838 965 47
733 840 32
197 712 29
62 252 96
627 997 98
483 762 3
232 913 26
721 903 38
378 470 91
109 727 49
452 874 9
267 782 11
15 503 83
443 911 31
177 924 94
5 915 30
319 347 43
28 512 23
642 748 72
79 614 46
61 201 75
473 511 37
176 939 5
256 504 40
251 410 41
729 762 49
292 812 21
676 910 51
5 403 4
462 585 52
438 906 92
590 958 55
487 642 34
146 432 30
521 625 5
99 352 48
448 565 71
686 968 63
713 888 63
297 481 72
550 913 66
657 707 66
57 553 94
371 931 5
503 877 81
109 869 73
302 708 63
103 529 32
11 95 19
635 726 40
794 832 58
351 847 59
251 867 78
10 560 10
190 567 73
381 425 86
32 902 18
77 180 42
746 847 14
60 161 53
107 564 42
602 635 67
220 664 16
160 831 81
644 650 8
61 438 43
128 134 1
118 171 51
48 173 56
633 980 74
581 757 89
909 949 26
773 951 49
328 939 79
419 536 24
424 504 48
249 839 48
580 818 30
83 958 97
728 792 72
350 659 10
465 860 34
480 746 73
206 471 61
179 784 60
452 461 79
226 579 73
636 916 63
873 974 69
353 733 49
2 332 3
97 376 88
378 434 48
96 454 93
317 569 7
443 803 39
124 254 74
173 219 77
93 980 82
298 608 39
273 660 47
205 599 73
503 759 61
686 725 97
311 565 75
548 912 16
212 488 70
82 430 9
821 883 59
134 521 37
246 463 51
178 987 23
122 233 21
78 575 87
464 855 18
96 773 73
63 253 49
615 868 72
277 334 35
37 261 64
851 959 28
937 939 45
42 597 76
492 586 74
246 982 84
308 605 6
199 215 34
155 366 65
378 944 9
379 825 76
181 845 1
327 668 56
644 916 32
393 880 19
619 837 34
362 531 53
106 430 29
411 416 78
70 380 14
573 650 28
120 811 38
29 396 90
283 955 31
119 674 68
625 685 35
537 756 84
602 730 24
303 503 85
15 93 38
101 991 59
693 824 41
304 858 76
77 741 37
135 368 12
707 900 35
743 902 90
710 796 85
6 965 34
247 737 14
851 900 94
297 436 5
141 517 85
210 745 76
146 663 78
30 359 90
136 137 68
749 911 72
191 835 17
890 933 13
297 656 22
393 581 10
167 945 11
127 134 64
232 785 61
193 365 62
938 967 63
170 538 39
605 855 100
247 518 29
12 630 69
344 949 82
579 884 14
139 513 60
364 479 71
162 359 98
468 694 14
95 536 98
614 781 99
241 433 12
56 568 10
160 833 21
34 445 55
225 768 54
296 636 19
15 807 69
238 726 29
703 833 80
598 804 93
17 517 45
7 849 41
325 479 61
416 853 32
438 455 76
506 997 94
68 515 67
816 886 44
540 560 91
354 433 67
105 580 40
404 475 73
309 661 100
285 295 29
36 954 32
39 139 94
454 700 70
318 466 14
170 866 61
385 755 99
237 548 49
305 515 27
200 378 2
186 329 19
138 150 38
337 640 69
446 689 22
331 651 9
310 450 89
297 479 83
153 939 10
39 357 31
661 745 23
142 261 1
834 964 26
7 640 85
304 335 94
114 504 81
40 311 59
570 854 53
242 682 18
319 488 75
196 460 31
331 490 34
864 892 51
395 515 5
337 669 89
619 667 77
506 512 49
361 856 26
161 934 26
674 841 3
122 998 73
464 915 91
300 491 5
628 658 8
518 893 70
132 703 89
302 518 2
543 738 77
726 981 66
188 528 21
228 725 4
390 808 62
64 440 28
655 750 3
60 183 41
290 629 52
364 709 30
181 747 18
98 595 97
285 738 46
62 263 20
743 885 5
706 971 88
665 899 26
91 407 39
498 835 27
51 53 66
327 738 46
259 486 20
3 869 84
494 998 100
123 402 85
424 707 9
34 326 60
136 281 73
690 922 6
142 355 88
626 785 99
444 955 88
782 865 14
50 528 84
233 245 3
296 559 32
99 987 57
190 746 89
300 383 60
152 702 52
282 477 77
318 651 40
192 506 40
90 184 59
798 935 91
520 682 59
218 322 12
383 961 21
694 982 29
355 376 73
434 884 45
186 477 82
467 650 39
23 367 75
710 993 27
401 434 63
140 293 22
837 855 55
168 877 40
567 783 14
81 607 66
193 229 98
896 924 29
782 837 91
225 912 98
281 739 43
248 563 31
281 412 83
146 381 82
242 720 56
133 563 93
195 815 99
147 278 56
174 585 35
654 855 23
796 965 70
246 277 25
340 623 23
225 767 13
428 540 39
121 778 91
92 558 22
609 769 32
60 228 69
65 714 25
164 854 76
499 521 1
207 334 83
629 983 98
232 893 70
30 951 13
642 769 44
827 928 23
632 824 99
76 613 100
137 352 9
73 304 97
466 875 72
836 946 56
491 802 71
129 995 69
674 892 77
449 565 69
60 322 69
842 950 98
405 607 67
821 907 96
70 435 10
479 911 53
189 736 72
41 529 91
168 257 24
449 937 98
211 696 30
307 591 22
140 626 44
578 926 21
94 854 63
335 736 92
31 100 22
469 920 77
446 640 48
710 859 89
370 975 83
399 663 18
546 568 49
75 253 28
24 134 67
40 891 81
807 838 98
175 904 40
337 486 56
32 231 59
553 756 1
343 684 31
274 896 76
427 486 4
174 175 45
89 549 69
492 614 75
213 478 85
50 109 86
425 683 58
167 466 47
33 805 45
575 872 20
296 461 84
740 822 41
476 976 24
99 792 86
554 735 60
471 573 40
1 972 2
429 859 98
461 614 85
172 731 20
603 926 51
49 894 80
455 670 10
201 442 57
95 368 53
540 869 42
120 828 77
268 948 60
118 944 25
208 895 82
12 865 77
264 886 2
712 954 66
216 870 15
230 971 95
9 648 19
58 411 56
841 939 5
392 654 82
410 932 69
154 870 67
352 507 76
321 322 60
140 834 78
572 982 39
538 857 33
581 947 44
310 683 42
332 708 15
504 532 47
200 257 14
33 421 19
261 887 44
264 975 92
226 262 56
317 576 8
468 567 22
604 992 59
546 614 30
347 442 25
708 853 26
330 717 29
519 656 15
450 989 84
44 841 62
101 202 89
594 616 44
605 838 48
788 942 25
788 983 44
156 856 88
577 900 25
250 642 69
476 622 33
102 886 5
983 997 16
487 906 43
67 428 77
28 893 31
977 998 9
551 852 51
384 789 56
264 738 97
61 333 82
313 830 91
259 393 45
508 670 30
144 749 20
474 925 75
438 947 45
440 492 6
432 776 43
152 217 80
392 435 96
423 736 23
726 797 66
301 374 3
394 551 32
587 839 52
64 948 97
190 628 12
578 709 27
247 678 6
279 570 67
94 220 13
740 927 15
182 379 78
3 214 38
295 529 94
867 937 69
770 866 40
38 483 90
147 875 4
488 590 55
180 866 9
297 502 36
6 661 63
123 966 29
429 853 65
81 302 79
263 275 95
5 674 75
145 794 49
85 373 29
206 513 79
605 910 58
437 584 2
553 572 8
66 482 81
236 489 74
309 998 39
334 733 76
65 89 28
392 640 59
591 692 47
170 268 33
354 835 34
566 863 84
492 958 8
519 630 3
617 746 89
59 957 60
307 870 12
623 859 35
347 948 66
93 605 25
151 457 90
305 785 96
449 878 87
113 769 94
113 727 70
277 376 14
281 503 44
289 818 80
478 805 73
52 194 88
89 720 49
498 815 97
203 819 22
82 596 7
64 707 44
375 564 70
615 829 69
42 325 16
217 709 96
461 811 6
860 909 37
72 600 45
894 904 59
178 409 39
5 620 76
297 560 68
65 669 72
5 804 4
641 661 24
244 737 4
5 507 13
397 748 23
649 858 30
84 379 61
234 847 6
151 484 43
821 893 71
494 959 40
31 190 62
21 285 92
134 513 49
104 882 3
6 235 62
528 655 4
182 925 4
26 824 42
185 804 66
187 892 72
194 540 43
667 773 81
349 755 11
445 777 84
8 104 52
401 937 77
168 551 59
79 128 87
33 44 61
876 928 26
170 540 49
263 563 69
217 290 42
569 997 27
45 293 34
417 967 43
661 979 92
684 885 79
301 856 19
381 752 15
451 960 52
300 441 36
89 289 41
326 327 7
287 949 16
233 792 69
405 410 56
246 580 30
267 897 88
41 368 54
58 885 4
451 986 91
325 578 28
763 840 55
222 952 16
376 707 29
507 658 66
388 821 26
839 938 85
509 943 1
652 704 17
274 543 16
130 736 83
452 659 23
391 473 58
27 113 28
520 846 36
230 573 75
329 583 27
8 643 84
954 957 39
252 814 100
302 315 99
64 81 16
215 680 84
224 322 52
400 897 20
296 440 98
497 980 75
824 840 36
130 256 61
426 966 75
21 160 19
113 629 10
278 933 79
205 957 65
192 761 43
334 356 98
163 395 66
289 778 76
415 466 33
668 784 98
369 851 23
79 657 78
280 834 8
418 973 87
43 702 67
635 953 44
369 909 58
306 868 60
108 937 9
540 603 43
613 916 49
142 210 35
413 617 54
54 811 69
54 350 49
820 953 37
124 144 18
20 802 37
248 360 61
49 281 78
101 781 41
600 938 18
163 681 6
232 669 51
104 570 86
276 702 16
39 390 17
270 476 55
42 793 83
723 741 14
301 878 93
6 544 71
98 476 31
321 945 48
273 808 78
475 818 79
456 781 16
51 811 67
240 595 36
415 954 13
823 847 10
219 248 78
156 399 75
278 298 66
399 509 53
175 490 43
51 371 30
841 897 79
370 508 72
401 560 55
356 741 81
406 477 77
663 758 9
123 303 63
148 425 98
726 881 39
398 570 42
561 883 38
90 840 55
176 826 25
293 868 65
569 643 38
258 295 2
47 641 62
604 899 58
457 892 76
68 500 12
436 800 53
137 315 64
537 632 24
182 534 73
486 524 32
390 433 60
420 775 21
421 897 5
199 542 40
103 776 47
129 694 83
292 662 78
340 727 87
570 762 40
591 593 41
199 775 37
162 902 98
356 612 29
233 827 81
389 867 24
510 858 8
206 799 56
959 983 81
47 217 6
371 829 91
271 380 58
51 205 1
516 588 82
461 987 54
149 628 58
661 773 53
282 513 38
889 985 18
497 668 59
66 961 50
631 704 9
476 693 86
475 803 57
208 693 33
137 280 90
396 971 16
159 524 59
33 458 81
379 458 21
769 845 7
308 630 91
34 933 11
519 819 51
565 866 100
694 698 57
159 649 99
82 649 26
129 244 12
741 761 92
465 825 83
806 856 9
595 624 25
307 503 95
355 587 86
255 821 91
581 709 5
156 314 74
62 750 42
248 870 8
277 588 48
145 234 91
243 834 44
441 447 97
159 515 34
583 878 15
83 254 61
496 844 42
59 753 100
21 599 49
429 757 64
161 397 27
855 976 57
323 573 38
346 539 38
48 860 4
41 596 30
1 846 73
771 821 24
691 809 91
966 968 28
571 671 21
790 897 78
666 696 61
60 593 92
235 789 16
116 944 40
421 440 17
354 975 43
643 904 97
42 416 79
487 870 45
370 729 95
176 301 15
174 178 52
389 857 91
790 907 54
259 873 76
921 937 89
12 26 98
513 880 13
241 299 66
288 990 69
180 229 73
467 549 52
592 622 47
548 818 6
519 817 80
145 849 90
244 313 10
714 761 44
440 880 7
132 330 31
147 467 89
85 478 19
122 570 16
475 970 16
224 779 13
185 574 42
610 720 53
302 825 2
310 377 76
8 598 97
110 575 73
78 218 56
46 145 2
24 471 29
831 943 42
366 948 74
186 831 9
603 846 6
52 367 58
167 258 22
102 796 11
45 619 31
91 881 62
689 912 71
555 935 23
1 342 16
57 309 86
78 843 41
285 412 48
52 270 69
257 491 98
250 348 25
508 767 46
536 548 15
681 932 83
542 673 50
208 936 12
44 882 19
234 967 16
609 656 95
112 275 65
80 671 22
823 831 88
459 687 35
761 898 81
391 872 51
902 976 84
481 692 65
87 270 37
239 488 19
343 780 21
532 831 56
47 695 86
194 834 8
818 868 93
376 577 56
170 230 24
374 508 55
82 768 50
49 897 25
625 681 53
60 114 67
424 997 62
237 736 20
736 857 72
413 959 17
199 816 6
55 557 32
330 904 46
7 682 92
837 949 71
562 996 32
518 680 77
810 924 39
70 299 11
197 984 79
947 956 52
392 886 24
263 354 64
400 906 52
646 656 64
48 810 40
470 671 45
230 600 90
766 829 53
500 543 17
119 230 87
20 42 75
194 725 99
55 939 72
499 543 21
521 659 78
139 262 15
264 619 48
381 955 1
431 492 60
709 764 39
204 270 26
740 784 68
604 924 39
521 910 11
59 539 13
610 712 2
318 878 41
512 638 59
701 762 65
436 745 1
125 607 53
190 863 1
14 830 22
166 292 10
716 862 17
407 970 47
281 502 27
847 984 68
473 658 40
692 930 17
158 681 59
212 461 32
152 940 24
454 901 33
86 801 39
174 894 3
106 849 61
40 510 35
299 374 63
597 604 5
216 234 94
201 396 54
41 183 15
314 856 29
60 339 6
682 750 72
88 246 82
638 897 28
776 858 38
59 123 69
217 558 41
256 272 64
172 768 90
37 217 91
777 859 30
309 986 31
811 911 5
128 597 71
178 822 36
4 752 55
364 908 46
129 885 96
242 994 39
2 487 13
57 841 44
131 833 4
661 688 98
217 570 76
92 113 81
243 304 51
662 899 1
407 455 26
54 703 96
574 872 3
163 225 89
291 404 50
894 990 33
91 503 61
189 764 67
502 615 53
16 29 86
119 932 75
132 773 49
775 821 43
201 476 64
197 704 63
59 231 71
413 627 25
494 625 86
528 929 77
171 527 69
101 616 58
412 924 39
403 657 100
363 473 18
176 478 18
632 702 89
253 998 99
604 662 90
591 845 35
657 719 10
216 439 31
106 225 26
520 874 9
786 903 17
81 456 29
81 120 52
191 887 87
483 978 18
130 919 93
278 859 94
175 560 93
452 868 92
23 500 6
374 534 74
770 964 54
177 696 1
241 512 2
537 874 91
508 893 23
121 372 49
333 519 60
533 722 15
318 341 49
584 980 95
496 756 25
15 710 45
709 999 1
188 687 85
816 984 26
47 235 29
340 385 80
159 961 57
180 466 57
635 924 2
445 709 75
440 468 29
495 568 18
758 989 89
268 957 79
346 775 37
331 918 69
61 331 64
376 601 22
55 940 78
867 950 88
73 164 22
705 850 1
519 714 55
385 527 16
27 43 70
191 866 52
41 936 75
127 344 77
719 811 45
859 929 63
71 498 35
322 435 47
223 686 90
191 907 10
75 859 50
447 531 40
114 558 71
178 308 24
480 979 80
311 636 56
310 939 96
531 566 45
845 892 49
455 592 10
209 873 92
713 901 57
763 875 98
534 903 12
59 807 54
95 666 89
481 497 88
458 999 97
79 304 90
536 905 78
160 345 22
317 467 90
7 81 53
545 849 83
212 795 36
329 699 26
522 664 42
32 765 99
646 901 55
442 736 52
17 251 87
573 848 61
255 435 52
625 922 96
43 55 18
453 516 86
282 385 96
313 492 56
324 726 16
214 428 45
554 902 63
511 658 50
513 934 43
771 837 68
118 570 93
374 893 85
448 923 90
378 518 17
688 764 3
864 904 56
137 611 4
82 570 89
190 550 10
131 152 20
242 948 60
214 873 41
111 612 46
797 829 30
412 557 8
147 633 60
424 964 15
342 435 53
52 706 94
479 502 11
273 871 69
617 932 98
935 948 11
435 566 10
585 979 58
99 185 64
689 847 87
333 924 26
33 882 36
432 603 24
448 913 2
814 830 70
86 785 84
138 282 1
199 656 26
13 263 61
408 949 1
95 851 90
75 893 46
866 983 90
280 537 91
27 649 90
920 969 15
275 502 51
384 594 71
244 535 8
98 541 54
99 992 63
554 894 68
481 898 10
513 937 30
61 849 11
16 855 96
136 813 1
77 967 43
264 512 49
134 278 99
186 555 58
561 814 19
463 491 46
278 847 44
246 730 70
761 865 11
141 997 17
799 998 77
172 737 94
320 788 97
445 799 82
15 898 84
367 659 48
506 992 35
145 885 47
746 751 85
460 540 57
496 685 12
592 748 96
475 788 4
345 357 70
171 823 17
74 706 88
180 187 50
299 393 3
764 869 2
77 929 17
8 108 1
106 994 11
264 854 26
392 815 40
322 631 76
287 942 4
50 552 53
482 971 26
586 677 55
818 905 19
68 699 51
110 951 59
455 684 37
152 767 14
269 377 22
479 804 5
362 447 37
1 740 89
208 879 24
268 677 39
770 954 29
617 848 11
631 995 59
300 916 73
5 676 96
200 519 17
370 514 51
269 775 39
597 676 10
9 279 55
279 663 96
357 733 81
240 402 10
164 439 16
174 814 25
370 489 47
419 795 79
475 710 75
679 760 45
65 763 94
322 533 94
700 742 39
19 146 47
779 839 79
406 593 35
70 612 13
346 390 58
326 900 88
732 904 72
426 715 28
626 864 98
568 848 64
177 923 17
518 915 57
27 946 2
18 289 83
595 934 50
334 549 97
147 737 15
320 327 10
139 349 7
650 839 5
601 955 65
447 794 7
665 893 90
611 827 43
137 272 27
218 741 89
380 757 86
788 930 48
549 871 35
745 831 71
213 382 80
474 590 91
686 704 51
1 717 30
545 917 72
0 35 12
525 621 49
494 869 88
394 807 44
607 827 87
312 498 45
160 855 82
65 990 82
14 764 44
450 911 90
351 403 3
184 490 69
45 722 59
673 834 63
277 661 74
385 790 90
300 919 35
374 510 36
54 910 56
69 295 3
637 800 3
500 850 99
679 950 13
20 783 32
182 748 69
384 888 57
266 409 21
336 717 94
181 934 58
32 277 30
26 140 65
664 669 92
17 918 91
144 494 100
3 527 16
144 795 65
99 211 30
960 963 54
428 576 21
190 891 79
366 396 64
416 980 45
54 704 66
71 953 46
310 747 10
87 515 90
479 744 28
48 948 34
106 576 82
727 995 93
236 634 32
194 995 35
525 847 54
188 265 25
257 678 52
416 772 40
187 396 79
203 776 25
1 134 77
505 955 44
35 439 36
637 728 96
389 400 25
813 816 27
564 867 31
130 418 41
155 190 19
117 701 60
870 907 49
203 784 80
503 597 40
49 600 41
386 979 80
43 599 7
922 971 86
22 132 2
368 824 57
329 360 100
605 900 97
186 386 1
332 496 59
613 636 18
167 442 94
419 895 56
137 674 49
670 750 62
250 539 70
468 745 40
717 931 1
652 841 70
289 878 36
289 367 47
509 909 74
187 559 77
56 168 86
104 287 27
128 874 49
726 836 7
720 776 71
68 985 72
250 817 77
233 273 62
278 417 29
23 674 68
179 419 64
152 296 9
259 969 90
113 653 87
207 850 25
151 460 24
51 662 4
215 705 69
87 836 58
239 257 53
91 257 42
451 488 91
152 375 64
92 919 70
57 924 65
2 643 8
291 839 29
311 501 95
483 748 6
34 970 45
130 324 92
651 773 40
372 621 68
254 962 62
89 267 72
79 226 26
222 846 9
270 958 95
802 827 61
3 413 53
68 593 89
205 699 5
390 577 4
109 783 79
79 175 79
787 910 2
341 851 12
66 499 85
78 434 100
766 830 54
114 231 2
441 963 78
591 823 78
189 250 59
359 464 62
298 438 7
229 301 90
157 864 53
68 813 16
81 557 19
296 631 22
62 998 91
517 710 32
372 388 2
293 655 12
2 378 46
